date,season,ldh_region,region_name,ed_visits,source_updated
2023-05-01,2023,3,South Central,0,9/3/2026
2023-05-01,2023,9,Northshore,1,9/3/2026
2023-05-02,2023,1,Southeast,0,9/3/2026
2023-05-02,2023,2,Capital Region,0,9/3/2026
2023-05-02,2023,3,South Central,0,9/3/2026
2023-05-02,2023,9,Northshore,1,9/3/2026
2023-05-03,2023,1,Southeast,1,9/3/2026
2023-05-03,2023,2,Capital Region,0,9/3/2026
2023-05-03,2023,3,South Central,1,9/3/2026
2023-05-03,2023,9,Northshore,3,9/3/2026
2023-05-04,2023,1,Southeast,1,9/3/2026
2023-05-04,2023,2,Capital Region,1,9/3/2026
2023-05-04,2023,3,South Central,1,9/3/2026
2023-05-04,2023,9,Northshore,2,9/3/2026
2023-05-05,2023,1,Southeast,2,9/3/2026
2023-05-05,2023,2,Capital Region,2,9/3/2026
2023-05-05,2023,3,South Central,0,9/3/2026
2023-05-05,2023,9,Northshore,1,9/3/2026
2023-05-06,2023,1,Southeast,0,9/3/2026
2023-05-06,2023,2,Capital Region,0,9/3/2026
2023-05-06,2023,3,South Central,0,9/3/2026
2023-05-06,2023,9,Northshore,1,9/3/2026
2023-05-07,2023,1,Southeast,1,9/3/2026
2023-05-07,2023,2,Capital Region,0,9/3/2026
2023-05-07,2023,3,South Central,1,9/3/2026
2023-05-07,2023,9,Northshore,0,9/3/2026
2023-05-08,2023,1,Southeast,1,9/3/2026
2023-05-08,2023,2,Capital Region,0,9/3/2026
2023-05-08,2023,3,South Central,0,9/3/2026
2023-05-08,2023,9,Northshore,3,9/3/2026
2023-05-09,2023,1,Southeast,1,9/3/2026
2023-05-09,2023,2,Capital Region,1,9/3/2026
2023-05-09,2023,3,South Central,0,9/3/2026
2023-05-09,2023,9,Northshore,1,9/3/2026
2023-05-10,2023,1,Southeast,0,9/3/2026
2023-05-10,2023,2,Capital Region,1,9/3/2026
2023-05-10,2023,3,South Central,0,9/3/2026
2023-05-10,2023,9,Northshore,1,9/3/2026
2023-05-11,2023,1,Southeast,0,9/3/2026
2023-05-11,2023,2,Capital Region,0,9/3/2026
2023-05-11,2023,3,South Central,1,9/3/2026
2023-05-11,2023,9,Northshore,0,9/3/2026
2023-05-12,2023,1,Southeast,0,9/3/2026
2023-05-12,2023,2,Capital Region,1,9/3/2026
2023-05-12,2023,3,South Central,1,9/3/2026
2023-05-12,2023,9,Northshore,2,9/3/2026
2023-05-13,2023,1,Southeast,4,9/3/2026
2023-05-13,2023,2,Capital Region,0,9/3/2026
2023-05-13,2023,3,South Central,2,9/3/2026
2023-05-13,2023,9,Northshore,4,9/3/2026
2023-05-14,2023,1,Southeast,3,9/3/2026
2023-05-14,2023,2,Capital Region,0,9/3/2026
2023-05-14,2023,3,South Central,3,9/3/2026
2023-05-14,2023,9,Northshore,2,9/3/2026
2023-05-15,2023,1,Southeast,2,9/3/2026
2023-05-15,2023,2,Capital Region,1,9/3/2026
2023-05-15,2023,3,South Central,1,9/3/2026
2023-05-15,2023,9,Northshore,2,9/3/2026
2023-05-16,2023,1,Southeast,2,9/3/2026
2023-05-16,2023,2,Capital Region,5,9/3/2026
2023-05-16,2023,3,South Central,1,9/3/2026
2023-05-16,2023,9,Northshore,3,9/3/2026
2023-05-17,2023,1,Southeast,1,9/3/2026
2023-05-17,2023,2,Capital Region,1,9/3/2026
2023-05-17,2023,3,South Central,3,9/3/2026
2023-05-17,2023,9,Northshore,1,9/3/2026
2023-05-18,2023,1,Southeast,3,9/3/2026
2023-05-18,2023,2,Capital Region,0,9/3/2026
2023-05-18,2023,3,South Central,0,9/3/2026
2023-05-18,2023,9,Northshore,1,9/3/2026
2023-05-19,2023,1,Southeast,4,9/3/2026
2023-05-19,2023,2,Capital Region,1,9/3/2026
2023-05-19,2023,3,South Central,5,9/3/2026
2023-05-19,2023,9,Northshore,5,9/3/2026
2023-05-20,2023,1,Southeast,8,9/3/2026
2023-05-20,2023,2,Capital Region,0,9/3/2026
2023-05-20,2023,3,South Central,2,9/3/2026
2023-05-20,2023,9,Northshore,3,9/3/2026
2023-05-21,2023,1,Southeast,0,9/3/2026
2023-05-21,2023,2,Capital Region,0,9/3/2026
2023-05-21,2023,3,South Central,1,9/3/2026
2023-05-21,2023,9,Northshore,1,9/3/2026
2023-05-22,2023,1,Southeast,2,9/3/2026
2023-05-22,2023,2,Capital Region,1,9/3/2026
2023-05-22,2023,3,South Central,0,9/3/2026
2023-05-22,2023,9,Northshore,3,9/3/2026
2023-05-23,2023,1,Southeast,3,9/3/2026
2023-05-23,2023,2,Capital Region,0,9/3/2026
2023-05-23,2023,3,South Central,0,9/3/2026
2023-05-23,2023,9,Northshore,0,9/3/2026
2023-05-24,2023,1,Southeast,0,9/3/2026
2023-05-24,2023,2,Capital Region,0,9/3/2026
2023-05-24,2023,3,South Central,1,9/3/2026
2023-05-24,2023,9,Northshore,0,9/3/2026
2023-05-25,2023,1,Southeast,1,9/3/2026
2023-05-25,2023,2,Capital Region,1,9/3/2026
2023-05-25,2023,3,South Central,0,9/3/2026
2023-05-25,2023,9,Northshore,1,9/3/2026
2023-05-26,2023,1,Southeast,2,9/3/2026
2023-05-26,2023,2,Capital Region,1,9/3/2026
2023-05-26,2023,3,South Central,2,9/3/2026
2023-05-26,2023,9,Northshore,1,9/3/2026
2023-05-27,2023,1,Southeast,1,9/3/2026
2023-05-27,2023,2,Capital Region,1,9/3/2026
2023-05-27,2023,3,South Central,1,9/3/2026
2023-05-27,2023,9,Northshore,0,9/3/2026
2023-05-28,2023,1,Southeast,1,9/3/2026
2023-05-28,2023,2,Capital Region,0,9/3/2026
2023-05-28,2023,3,South Central,0,9/3/2026
2023-05-28,2023,9,Northshore,3,9/3/2026
2023-05-29,2023,1,Southeast,1,9/3/2026
2023-05-29,2023,2,Capital Region,0,9/3/2026
2023-05-29,2023,3,South Central,0,9/3/2026
2023-05-29,2023,9,Northshore,0,9/3/2026
2023-05-30,2023,1,Southeast,1,9/3/2026
2023-05-30,2023,2,Capital Region,0,9/3/2026
2023-05-30,2023,3,South Central,0,9/3/2026
2023-05-30,2023,9,Northshore,0,9/3/2026
