date,ldh_region,high_f,low_f,average_f,peak_heat_index_f,morning_low_f,hi_hours_105,hi_hours_108,hi_2day_mean_f,hi_3day_mean_f,consecutive_hi108_days,temperature_hours,heat_index_hours,expected_hours,weather_sources,fallback_used,source_count,population_2020
2023-01-27,2,,,,,,,,,,,,,,,,0,696328
2023-01-27,3,,,,,,,,,,,,,,,,0,343394
2023-01-27,9,,,,,,,,,,,,,,,,0,596392
2023-01-28,1,,,,,,,,,,,,,,,,0,892057
2023-01-28,2,,,,,,,,,,,,,,,,0,696328
2023-01-28,3,,,,,,,,,,,,,,,,0,343394
2023-01-28,9,,,,,,,,,,,,,,,,0,596392
2023-01-29,1,,,,,,,,,,,,,,,,0,892057
2023-01-29,2,,,,,,,,,,,,,,,,0,696328
2023-01-29,3,,,,,,,,,,,,,,,,0,343394
2023-01-29,9,,,,,,,,,,,,,,,,0,596392
2023-01-30,1,,,,,,,,,,,,,,,,0,892057
2023-01-30,2,,,,,,,,,,,,,,,,0,696328
2023-01-30,3,,,,,,,,,,,,,,,,0,343394
2023-01-30,9,,,,,,,,,,,,,,,,0,596392
2023-01-31,1,,,,,,,,,,,,,,,,0,892057
2023-01-31,2,,,,,,,,,,,,,,,,0,696328
2023-01-31,3,,,,,,,,,,,,,,,,0,343394
2023-01-31,9,,,,,,,,,,,,,,,,0,596392
2023-02-01,1,,,,,,,,,,,,,,,,0,892057
2023-02-01,2,,,,,,,,,,,,,,,,0,696328
2023-02-01,3,,,,,,,,,,,,,,,,0,343394
2023-02-01,9,,,,,,,,,,,,,,,,0,596392
2023-02-02,1,,,,,,,,,,,,,,,,0,892057
2023-02-02,2,,,,,,,,,,,,,,,,0,696328
2023-02-02,3,,,,,,,,,,,,,,,,0,343394
2023-02-02,9,,,,,,,,,,,,,,,,0,596392
2023-02-03,1,,,,,,,,,,,,,,,,0,892057
2023-02-03,2,,,,,,,,,,,,,,,,0,696328
2023-02-03,3,,,,,,,,,,,,,,,,0,343394
2023-02-03,9,,,,,,,,,,,,,,,,0,596392
2023-02-04,1,,,,,,,,,,,,,,,,0,892057
2023-02-04,2,,,,,,,,,,,,,,,,0,696328
2023-02-04,3,,,,,,,,,,,,,,,,0,343394
2023-02-04,9,,,,,,,,,,,,,,,,0,596392
2023-02-05,1,,,,,,,,,,,,,,,,0,892057
2023-02-05,2,,,,,,,,,,,,,,,,0,696328
2023-02-05,3,,,,,,,,,,,,,,,,0,343394
2023-02-05,9,,,,,,,,,,,,,,,,0,596392
2023-02-06,1,,,,,,,,,,,,,,,,0,892057
2023-02-06,2,,,,,,,,,,,,,,,,0,696328
2023-02-06,3,,,,,,,,,,,,,,,,0,343394
2023-02-06,9,,,,,,,,,,,,,,,,0,596392
2023-02-07,1,,,,,,,,,,,,,,,,0,892057
2023-02-07,2,,,,,,,,,,,,,,,,0,696328
2023-02-07,3,,,,,,,,,,,,,,,,0,343394
2023-02-07,9,,,,,,,,,,,,,,,,0,596392
2023-02-08,1,,,,,,,,,,,,,,,,0,892057
2023-02-08,2,,,,,,,,,,,,,,,,0,696328
2023-02-08,3,,,,,,,,,,,,,,,,0,343394
2023-02-08,9,,,,,,,,,,,,,,,,0,596392
2023-02-09,1,,,,,,,,,,,,,,,,0,892057
2023-02-09,2,,,,,,,,,,,,,,,,0,696328
2023-02-09,3,,,,,,,,,,,,,,,,0,343394
